Week,Sales,Z_Score,Anomaly_IF,Anomaly_ZS
2014-12-29,304.508,1.4204515067556382,1,1
2015-01-05,4619.108,0.8376691801539734,0,0
2015-01-12,4130.533,0.9036620590348449,0,0
2015-01-19,3092.544,1.043865471728243,0,0
2015-01-26,2527.914,1.1201312634746616,1,0
2015-02-02,968.534,1.3307600829379038,1,1
2015-02-09,2771.054,1.087289819333854,0,0
2015-02-16,224.912,1.4312027101274887,1,1
2015-02-23,2289.643,1.1523150412852827,1,0
2015-03-02,4030.728,0.917142935618185,0,0
2015-03-09,4139.602,0.9024370896471959,0,0
2015-03-16,37703.665,3.6311332819619575,1,1
2015-03-23,3998.7769999999996,0.9214586260917514,0,0
2015-03-30,10363.902,0.06170746570366879,0,0
2015-04-06,8418.293,0.3245050691146776,0,0
2015-04-13,2198.37,1.1646434822290352,1,0
2015-04-20,5660.104,0.6970596054858635,0,0
2015-04-27,4974.812,0.789623473784549,0,0
2015-05-04,6332.464,0.606242490315536,0,0
2015-05-11,3967.87,0.9256333012338915,0,0
2015-05-18,6241.9839999999995,0.6184638190391533,0,0
2015-05-25,6523.233,0.580474910084814,0,0
2015-06-01,8569.948,0.30402070121480834,0,0
2015-06-08,8683.282000000001,0.2887124334256568,0,0
2015-06-15,11139.4446,0.04304674576592391,0,0
2015-06-22,5143.956999999999,0.7667766938668189,0,0
2015-06-29,3158.4,1.0349701597872336,0,0
2015-07-06,6290.629,0.6118932339843305,0,0
2015-07-13,1387.6860000000001,1.274144318380415,1,0
2015-07-20,21590.079999999998,1.454636606443094,1,1
2015-07-27,3255.66,1.0218330418422845,0,0
2015-08-03,13454.076,0.3556890005560012,0,0
2015-08-10,3187.942,1.0309798581387688,0,0
2015-08-17,4366.498,0.8717897576172021,0,0
2015-08-24,4901.8925,0.7994728679032692,0,0
2015-08-31,4234.85,0.8895717368812024,0,0
2015-09-07,29959.137,2.585063183627989,1,1
2015-09-14,20685.832000000002,1.3324978790373323,1,1
2015-09-21,17249.3338,0.8683226562221387,1,0
2015-09-28,11781.179,0.12972719509896127,0,0
2015-10-05,4751.272,0.8198175036571991,0,0
2015-10-12,10468.226,0.04761619804493046,0,0
2015-10-19,3882.99,0.9370982258808923,0,0
2015-10-26,14794.436000000002,0.5367343162941481,0,0
2015-11-02,14934.875,0.5557037148862797,0,0
2015-11-09,15130.8292,0.5821716712630858,0,0
2015-11-16,26793.6235,2.1574904486307758,1,1
2015-11-23,16191.363000000001,0.7254202587112166,0,0
2015-11-30,13185.832,0.31945670499744744,0,0
2015-12-07,8971.0645,0.24984103053657244,0,0
2015-12-14,23416.453,1.7013287461970605,1,1
2015-12-21,10632.52,0.02542465315856931,0,0
2015-12-28,15880.6606,0.6834530155014817,0,0
2016-01-04,1973.444,1.1950247221106478,1,0
2016-01-11,1720.158,1.2292366083516966,1,0
2016-01-18,358.522,1.4131557192923594,1,1
2016-01-25,10314.516,0.06837813922648668,0,0
2016-02-01,3249.49,1.022666437048128,0,0
2016-02-08,2071.846,1.1817333517629314,1,0
2016-02-15,4776.534,0.8164053108387197,0,0
2016-02-22,1853.541,1.2112202788961017,1,0
2016-02-29,6066.2554,0.6421998600066712,0,0
2016-03-07,5375.648,0.7354816908462222,0,0
2016-03-14,13310.136,0.33624671434382797,0,0
2016-03-21,5012.915,0.7844768194039567,0,0
2016-03-28,2873.5840000000003,1.073440871123946,0,0
2016-04-04,6433.63,0.5925777805271468,0,0
2016-04-11,11463.31,0.08679194377217665,0,0
2016-04-18,4603.642,0.8397582061270003,0,0
2016-04-25,11805.6065,0.13302667020280914,0,0
2016-05-02,7774.9439999999995,0.41140360595166237,0,0
2016-05-09,4905.0615,0.7990448242391982,0,0
2016-05-16,4418.17,0.8648103091445369,0,0
